nurse_id_i,name_i,nurse_id_j,name_j,js_distance
20362,Angela Garcia,47931,Bradley Mccann,0.3800344032
20362,Angela Garcia,82336,William Vasquez,0.3009593912
20362,Angela Garcia,84362,Francisco Escobar,0.3599713831
47931,Bradley Mccann,82336,William Vasquez,0.3846367725
47931,Bradley Mccann,84362,Francisco Escobar,0.4769514830
82336,William Vasquez,84362,Francisco Escobar,0.3550329614
