nurse_id_i,name_i,nurse_id_j,name_j,js_distance
28978,Nathaniel Morse,39245,Jessica Patel,0.7267845154
28978,Nathaniel Morse,47931,Bradley Mccann,0.6543768361
28978,Nathaniel Morse,58489,Jeanne Rodriguez,0.6381379126
28978,Nathaniel Morse,62116,David Galloway,0.5353652289
28978,Nathaniel Morse,73765,Anthony Webb,0.7241250947
28978,Nathaniel Morse,74398,Lauren Salinas,0.6501955844
28978,Nathaniel Morse,81119,Mrs. Rachel Price MD,0.6221398884
28978,Nathaniel Morse,99412,Jaclyn Robinson,0.7751926350
39245,Jessica Patel,47931,Bradley Mccann,0.6126095718
39245,Jessica Patel,58489,Jeanne Rodriguez,0.7078013019
39245,Jessica Patel,62116,David Galloway,0.6873031793
39245,Jessica Patel,73765,Anthony Webb,0.6953270615
39245,Jessica Patel,74398,Lauren Salinas,0.6796062992
39245,Jessica Patel,81119,Mrs. Rachel Price MD,0.5970637661
39245,Jessica Patel,99412,Jaclyn Robinson,0.7401151305
47931,Bradley Mccann,58489,Jeanne Rodriguez,0.6161108408
47931,Bradley Mccann,62116,David Galloway,0.4994155136
47931,Bradley Mccann,73765,Anthony Webb,0.6434935584
47931,Bradley Mccann,74398,Lauren Salinas,0.5459210869
47931,Bradley Mccann,81119,Mrs. Rachel Price MD,0.5618551222
47931,Bradley Mccann,99412,Jaclyn Robinson,0.6822961687
58489,Jeanne Rodriguez,62116,David Galloway,0.5579912731
58489,Jeanne Rodriguez,73765,Anthony Webb,0.6805339133
58489,Jeanne Rodriguez,74398,Lauren Salinas,0.6086601480
58489,Jeanne Rodriguez,81119,Mrs. Rachel Price MD,0.6624925502
58489,Jeanne Rodriguez,99412,Jaclyn Robinson,0.7293898874
62116,David Galloway,73765,Anthony Webb,0.6924621411
62116,David Galloway,74398,Lauren Salinas,0.5203014804
62116,David Galloway,81119,Mrs. Rachel Price MD,0.5556254730
62116,David Galloway,99412,Jaclyn Robinson,0.6691499419
73765,Anthony Webb,74398,Lauren Salinas,0.7074099115
73765,Anthony Webb,81119,Mrs. Rachel Price MD,0.6726570207
73765,Anthony Webb,99412,Jaclyn Robinson,0.5948191632
74398,Lauren Salinas,81119,Mrs. Rachel Price MD,0.5458100739
74398,Lauren Salinas,99412,Jaclyn Robinson,0.6867283197
81119,Mrs. Rachel Price MD,99412,Jaclyn Robinson,0.6989424720
