nurse_id,name,js_to_centroid
47931,Bradley Mccann,0.4747523001
62116,David Galloway,0.4788833164
81119,Mrs. Rachel Price MD,0.4880087146
74398,Lauren Salinas,0.4941446967
73765,Anthony Webb,0.4980932346
58489,Jeanne Rodriguez,0.5206330711
28978,Nathaniel Morse,0.5455058373
39245,Jessica Patel,0.5523175566
99412,Jaclyn Robinson,0.5728957770
