nurse_id,name,js_to_centroid
36258,Lauren Wright,0.2055370224
52677,Krista Jones,0.2418124102
46740,Jason Drake,0.2576351311
28978,Nathaniel Morse,0.2820169294
30150,Michael White,0.3185541485
89525,Cindy Hernandez,0.3242499578
46630,Sara Lynn,0.3250606149
62617,Raymond Clark,0.3322712433
53951,Melissa Welch,0.3371168735
52773,Ian Garcia,0.5290539846
